"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsunami Event Validity"	"Tsunami Cause Code"	"Earthquake Magnitude"	"Vol"	"More Info"	"Deposits"	"Country"	"Location Name"	"Latitude"	"Longitude"	"Maximum Water Height (m)"	"Number of Runups"	"Tsunami Magnitude (Abe)"	"Tsunami Magnitude (Iida)"	"Tsunami Intensity"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""2000 <= Year >= 2022"",""Region = 81 - E. Australia, New Zealand, South Pacific Is.;80 - Hawaii, Johnston Atoll, Midway I;82 - New Caledonia, New Guinea, Solomon Is., Vanuatu;83 - E. Indonesia and Malaysia;84 - China, North and South Korea, Philippines, Taiwan;85 - Japan;86 - Kamchatka and Kuril Islands;60 - Indian Ocean (including W. Australia and W. Indonesia)""]"																																													
	2000	1	26				-1	9				0	"PHILIPPINES"	"TAWI-TAWI, PHILIPPINES"	5.1	120.15	20	4									3		3	300	3								3		3	300	3		
	2000	5	4	4	21	16.2	4	1	7.6			0	"INDONESIA"	"SULAWESI"	-1.105	123.573	6	2				54	2			264			3		4			54	2			264	3	30	4	23000	4		
	2000	6	18	14	44	13.3	4	1	7.9			0	"AUSTRALIA"	"SOUTH INDIAN OCEAN"	-13.802	97.453	0.3	1																											
	2000	7	1	7	1	55.5	4	1	6.1	5104		1	"JAPAN"	"KOZU-SHIMA ISLAND, HONSHU"	34.221	139.131	0.07	4																1	1				3		1				
	2000	7	15	1	30	30.5	4	1	6.1			0	"JAPAN"	"HONSHU: S COAST"	34.319	139.26	0.07	1																				10	1		1			20	1
	2000	7	30	12	25	45.5	4	1	6.5			0	"JAPAN"	"HONSHU: S COAST"	33.901	139.376	0.14	1																				1	1		1				
	2000	11	16	4	54	55.9	4	1	8			0	"PAPUA NEW GUINEA"	"BISMARCK SEA"	-4.001	152.327	3	9											2					2	1						2		3		
	2001	12	18	4	2	58.2	4	1	6.8			0	"TAIWAN"	"TAIWAN"	23.954	122.734	0.16	6																											
	2002	1	2	17	22	48.7	4	1	7.2			0	"VANUATU"	"VANUATU ISLANDS"	-17.6	167.856	3	2		-4.64	-4.14																		2		1				2
	2002	3	5	21	16	9.1	4	1	7.5			0	"PHILIPPINES"	"MINDANAO ISLAND, PHILIPPINES"	6.033	124.249	3	3											1					15	1			100	2	1.714	2			800	3
	2002	3	26	3	45	48.7	3	1	6.4			0	"JAPAN"	"JAPAN"	23.346	124.09	0.05	3																											
	2002	3	31	6	52	50.4	4	1	7.1			0	"TAIWAN"	"TAIWAN"	24.279	122.179	0.2	11																5	1			200	3		2	100	2		
	2002	9	8	18	44	25.5	4	1	7.6			0	"PAPUA NEW GUINEA"	"BISMARCK SEA"	-3.26	142.94	5.5	88		0.58	1.08								1		1			4	1			70	2		3		1	873	3
	2002	9	13	22	28	29.4	4	1	6.5			0	"INDIA"	"ANDAMAN ISLANDS, INDIA"	13.036	93.068		4											1				1	2	1						2	40	1		1
	2002	10	10	10	50	20.5	1	1	7.6			0	"INDONESIA"	"IRIAN JAYA"	-1.757	134.297	5	3		2.32	2.82													8	1			632	3		3	1000	3	900	3
	2002	11	4				0	8				0	"NEW ZEALAND"	"ALBERT TOWN"	-44.7	169.2		1																											
	2003	1	20	8	43	6	4	1	7.3			0	"SOLOMON ISLANDS"	"SOLOMON ISLANDS"	-10.491	160.77	2	2																											
	2003	7	14				0	8				0	"CHINA"	"QINGGAN RIVER, HUBEI PROVINCE"	30.97	110.605	39	1						11	1				2							11	1				2				
	2003	8	21	12	12	49.7	4	3	7.2			0	"NEW ZEALAND"	"SOUTH ISLAND"	-45.104	167.144	4	3											1										1		1				
	2003	9	25	19	50	6.3	4	1	8.3			1	"JAPAN"	"HOKKAIDO ISLAND"	41.815	143.91	4.4	268				2	1						1					2	1			849	3	90	4				
	2003	10	31	1	6	28.2	4	1	7			0	"JAPAN"	"E. HONSHU ISLAND"	37.812	142.619	0.32	4																											
	2003	12	27	16	0	59	4	1	7.3			0	"NEW CALEDONIA"	"LOYALTY ISLANDS"	-22.015	169.766	0.15	2																											
	2004	1	28	22	15	30.7	4	1	6.7			0	"INDONESIA"	"SERAM ISLAND"	-3.12	127.4		1																											
	2004	9	5	10	7	7.8	4	1	7.2			0	"JAPAN"	"SOUTH COAST HONSHU ISLAND"	33.07	136.618	0.63	12																				4	1		1				
	2004	9	5	14	57	18.6	4	1	7.4			0	"JAPAN"	"SOUTH COAST HONSHU ISLAND"	33.184	137.071	0.93	24																				40	1		1				
	2004	11	11	21	26	41.1	4	1	7.5			0	"INDONESIA"	"KEPULAUAN ALOR"	-8.152	124.868	2	3											1			1	1	34	1			400	3		3	781	3	16712	4
	2004	11	22	20	26	23.9	4	1	7.1			0	"NEW ZEALAND"	"PUYSEGUR TRENCH"	-46.676	164.721		1																											
	2004	11	28	18	32	14.1	4	1	7			0	"JAPAN"	"HOKKAIDO ISLAND"	43.006	145.119	0.12	2																				24	1		2				1
	2004	12	23	14	59	4.4	4	1	8.1			0	"AUSTRALIA"	"MACQUARIE ISLAND"	-49.312	161.345	0.3	4																											
	2004	12	26	0	58	53.5	4	1	9.1			146	"INDONESIA"	"OFF W. COAST OF SUMATRA"	3.295	95.982	50.9	2176				227899	4				3	10000	4		4		4	227899	4				3	10000	4		4		4
	2005	1	19	6	11	36.4	4	1	6.6			0	"JAPAN"	"E. HONSHU ISLAND"	34.064	141.491	0.39	11																											
	2005	3	28	16	9	36.5	4	1	8.6			1	"INDONESIA"	"INDONESIA"	2.085	97.108	4.2	74				16	1						1					1319	4			340	3		4	300	3		
	2005	4	10	10	29	11.2	4	1	6.7			0	"INDONESIA"	"KEPULAUAN MENTAWAI"	-1.644	99.607	0.4	1																											
	2005	8	16	2	46	28.4	4	1	7.2			0	"JAPAN"	"E. COAST HONSHU ISLAND"	38.276	142.039	0.05	1																				56	2		1	1	1		
	2005	11	14	21	38	51.4	4	1	7			0	"JAPAN"	"E. COAST HONSHU ISLAND"	38.107	144.896	0.42	1																											
	2006	1	1	7	11	57	3	1	5.6	7540		0	"JAPAN"	"S. OF HONSHU ISLAND"	31.394	140.131		0																											
	2006	3	14	6	57	33.8	4	1	6.7			0	"INDONESIA"	"SERAM ISLAND"	-3.595	127.214	3.5	1				4	1						2	241	3			4	1					1	2	241	3		
	2006	5	3	15	26	40.2	4	1	8			0	"TONGA"	"TONGA"	-20.187	-174.123	0.27	55																				1	1		1				
	2006	7	17	8	19	28.7	4	1	7.7			4	"INDONESIA"	"SOUTH OF JAVA"	-9.254	107.411	20.9	211	8.1			802	3			498	3	55	4	1623	4			802	3			498	3	55	4	1623	4		
	2006	8	27				2	9				0	"SOUTH KOREA"	"YELLOW SEA"				1				1	1											1	1										
	2006	9	28	6	22	9.7	4	1	6.9			0	"SAMOA"	"SAMOA ISLANDS"	-16.592	-172.033	0.08	1																											
	2006	10	15	17	7	49.2	4	1	6.7			0	"USA"	"HAWAII"	19.878	-155.935	0.1	1																					3		2				
	2006	10	23	21	17	19	4	1	6.4			0	"JAPAN"	"IZU ISLANDS, JAPAN"	29.351	140.27	0.16	5																											
	2006	11	13	8	2	44.4	4	1	5.2			0	"TAIWAN"	"SOUTH CHINA SEA"	20.656	119.997	0.15	1																											
	2006	11	15	11	14	13.5	4	1	8.3			3	"RUSSIA"	"S. KURIL ISLANDS"	46.592	153.266	21.9	261								1	1		2									1	1		2				
	2006	12	26	12	26	21.4	4	1	7			0	"TAIWAN"	"TAIWAN"	21.799	120.547	0.12	7																2	1			40	1		1		2		
	2007	1	13	4	23	21.1	4	1	8.1			1	"RUSSIA"	"S. KURIL ISLANDS"	46.243	154.524	0.4	46																											
	2007	3	25	0	40	1.6	4	1	7.1			0	"VANUATU"	"VANUATU ISLANDS"	-20.617	169.357	0.08	2																											
	2007	3	25	0	41	57.8	4	1	6.7			0	"JAPAN"	"HONSHU: W COAST"	37.336	136.588	0.1	3																1	1			359	3		3	13556	4		
	2007	3	31				3	9				0	"SOUTH KOREA"	"YELLOW SEA"			1.65	2				4	1					2	2				1	4	1					2	2				1
	2007	4	1	20	39	56.3	4	1	8.1			0	"SOLOMON ISLANDS"	"SOLOMON ISLANDS"	-8.46	157.044	12.1	247				50	1						3	2500	4			52	2						3	2500	4	500	3
	2007	5	19				3	7		7524		0	"PAPUA NEW GUINEA"	"RITTER ISLAND, PAPUA NEW GUINEA"	-5.52	148.121	10	2											1		1										1		1		
	2007	6	15				0	8				0	"CHINA"	"DAYANTANG, ENSHI"	30.394	110.16	50	8				8	1						2					8	1						2	15	1		
	2007	7	16	1	13	22	4	1	6.6			0	"JAPAN"	"HONSHU: W COAST"	37.57	138.478		1																9	1			1088	4		3	875	3		
	2007	8	2	2	37	42.3	4	1	6.2			0	"RUSSIA"	"TATAR STRAIT"	47.116	141.798	3.2	18																2	1			12	1		1	11	1	20	1
	2007	9	2	1	5	18.1	4	1	7.2			0	"SOLOMON ISLANDS"	"SANTA CRUZ ISLANDS"	-11.61	165.762	0.05	2																											
	2007	9	12	11	10	26.8	4	1	8.4			0	"INDONESIA"	"SUMATRA"	-4.438	101.367	5	56											1				2	25	1			161	3		3	56425	4		
	2007	9	30	5	23	34	4	1	7.4			0	"NEW ZEALAND"	"AUCKLAND ISLANDS"	-49.418	163.954	0.35	8																											
	2007	12	9	7	28	20.8	4	1	7.8			0	"KERMADEC ISLANDS"	"KERMADEC ISLANDS"	-25.996	-177.514	0.03	1																											
	2008	2	25	8	36	33	4	1	6.5			0	"INDONESIA"	"SUMATRA"	-2.486	99.972	0.12	1																							1				2
	2008	4	9	12	46	12.7	4	1	7.3			0	"NEW CALEDONIA"	"LOYALTY ISLANDS"	-20.071	168.892	0.16	1																											
	2008	4	28	18	33	34.2	1	1	6.4			0	"VANUATU"	"VANUATU ISLANDS"	-19.941	168.953	0.03	2																											
	2008	5	4				3	9				0	"SOUTH KOREA"	"YELLOW SEA"			1.3	2				9	1			15	1							9	1			15	1						
	2008	5	12	6	28	0.5	0	1	7.9			0	"CHINA"	"SICHUAN PROVINCE"	30.98	103.396		1																87652	4			374171	4	86000	4	5360000	4		
	2008	6	13	23	43	45.3	0	3	6.9			0	"JAPAN"	"ARATOZAWA, JAPAN"	39.03	140.881	2.5	0																23	1			357	3		3			614	3
	2008	7	19	2	39	28.7	4	1	6.9			0	"JAPAN"	"OFF EAST COAST OF HONSHU ISLAND"	37.552	142.214	0.2	3																											
	2008	9	11	0	20	50.9	4	1	6.8			0	"JAPAN"	"HOKKAIDO ISLAND"	41.892	143.754	0.09	1																6	1			77	2		3			1000	3
	2008	11	16	17	2	32.7	4	1	7.3			0	"INDONESIA"	"SULAWESI"	1.271	122.091	0.13	3																6	1			77	2		3			1000	3
	2008	11	23				0	8				0	"CHINA"	"WU GORGE, WUSHAN COUNTY"	31.065	109.92	13.1	1										0.746	1											0.746	1				
	2009	1	3	19	43	50.6	4	1	7.6			0	"INDONESIA"	"NEAR NORTH COAST"	-0.414	132.885	0.39	24																5	1			250	3		3			840	3
	2009	1	3	22	33	40.2	3	1	7.3			0	"INDONESIA"	"NEAR NORTH COAST"	-0.691	133.305		0																											
	2009	1	15	17	49	39	4	1	7.4			0	"RUSSIA"	"KAMCHATKA"	46.857	155.154	0.11	11																											
	2009	2	11	17	34	50.8	4	1	7.2			0	"INDONESIA"	"CELEBES SEA"	3.884	126.397	0.13	1																				64	2		2			597	3
	2009	2	24				4	9				0	"EAST CHINA SEA"	"E. CHINA SEA-S.JAPAN"			1.45	6											2												2				
	2009	3	19	18	17	40.9	4	1	7.6			0	"TONGA"	"TONGA"	-23.046	-174.659	0.15	27																											
	2009	7	15	9	22	29	4	1	7.8			1	"NEW ZEALAND"	"OFF WEST COAST OF SOUTH ISLAND"	-45.762	166.562	0.47	10																							1				
	2009	7	20				0	8				0	"CHINA"	"XIAOWAN RESERVOIR, YUNNAN PROVINCE"	24.75	100	30	0				2	1	12	1									2	1	12	1								
	2009	8	10	19	55	35.6	3	1	7.5			0	"INDIA"	"ANDAMAN ISLANDS"	14.099	92.888	0.01	1																											
	2009	8	10	20	7	9.1	4	1	6.4			0	"JAPAN"	"HONSHU: S COAST"	34.743	138.264	0.6	5																1	1			123	3		3	5192	4		
	2009	8	16	7	38	21.7	4	1	6.7			0	"INDONESIA"	"SUMATRA"	-1.479	99.49	0.18	1																				9	1						
	2009	9	2	7	55	1	4	1	7			0	"INDONESIA"	"JAVA SEA"	-7.782	107.297	0.4	2																81	2			1297	4		3			54000	4
	2009	9	29	17	48	10.9	4	1	8.1			9	"SAMOA"	"SAMOA ISLANDS"	-15.489	-172.095	22.35	618				192	3			7	1	285	4					192	3			7	1	285	4				
	2009	9	30	10	16	9.2	4	1	7.5			0	"INDONESIA"	"SUMATRA"	-0.72	99.867	0.27	1																1117	4			1214	4	2200	4		3	181665	4
	2009	10	7	22	3	14.4	4	1	7.6			0	"VANUATU"	"VANUATU ISLANDS"	-13.006	166.51	0.29	37																											
	2010	1	2				2	9				0	"SOUTH KOREA"	"CHEJU (JEJU) STRAIT"				0				1	1											1	1										
	2010	1	3	21	48	5.3	4	1	6.6			0	"SOLOMON ISLANDS"	"SOLOMON ISLANDS"	-8.743	157.477	0.01	1																											
	2010	1	3	22	36	27.9	4	1	7.1			0	"SOLOMON ISLANDS"	"SOLOMON ISLANDS"	-8.799	157.346	7.52	51											1		1										1	16	1	60	2
	2010	1	5	12	15	32.2	4	1	6.8			0	"SOLOMON ISLANDS"	"SOLOMON ISLANDS"	-9.019	157.551	0.03	1																											
	2010	2	26	20	31	26.9	3	1	7			0	"JAPAN"	"RYUKYU ISLANDS"	25.93	128.425	0.1	2																											
	2010	4	6	22	15	1.5	4	1	7.8			0	"INDONESIA"	"SUMATRA"	2.383	97.048	0.44	6																											
	2010	4	13				2	0				1	"COOK ISLANDS"	"MANGAIA ISLAND, COOK ISLANDS"	-21.955	-157.92		1																											
	2010	5	29	11	46	50	4	6		5184		0	"USA TERRITORY"	"SOUTH OF SARIGAN IS, N. MARIANA IS"	16.708	145.97	0.04	1																											
	2010	6	12	19	26	50.4	4	1	7.5			0	"INDIA"	"LITTLE NICOBAR ISLAND"	7.881	91.936	0.03	2																											
	2010	8	10	5	23	44.9	4	1	7.2			0	"VANUATU"	"VANUATU ISLANDS"	-17.541	168.069	0.23	1																											
	2010	8	13	21	19	33	4	1	6.9			0	"USA TERRITORY"	"GUAM, MARIANA ISLANDS"	12.484	141.476	0.07	1																											
	2010	10	25	14	42	22	4	1	7.8			0	"INDONESIA"	"SUMATRA"	-3.487	100.082	16.9	358				431	3					39	4	700	3			431	3					39	4	700	3		
	2010	12	21	17	19	40.6	4	1	7.4			0	"JAPAN"	"BONIN ISLANDS"	26.901	143.698	0.13	4																											
